clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,remain_car_parking_space,remain_motorcycle_parking_space,car_occupied_long_term,motorcycle_occupied_long_term,bicycle_occupied_long_term,CPU_time(in second)
0,0,0,0,0,0,0,0,0,0,15,120,120,0,0,0,0,0,0,7,159,8,34,40,0.20902085304260254
1,0,0,0,0,0,0,0,0,0,15,120,120,0,0,0,0,0,0,7,159,8,34,40,
2,0,0,0,0,0,0,0,0,0,15,120,120,0,0,0,0,0,0,7,159,8,34,40,
3,0,0,0,0,0,0,0,0,0,15,120,120,0,0,0,0,0,0,7,159,8,34,40,
4,0,0,0,0,0,0,0,0,0,15,120,120,0,0,0,0,0,0,7,159,8,34,40,
5,4,1,1,0,2,0,0,0,2,16,122,120,0,0,0,0,0,0,6,157,8,34,40,
6,30,0,6,0,15,0,3,0,6,22,137,123,0,0,0,0,0,0,0,140,8,34,40,
7,25,0,5,0,15,0,4,0,1,22,152,127,5,0,0,0,0,0,0,123,8,34,40,
8,33,14,8,4,15,7,7,3,3,18,160,131,8,0,0,0,0,0,4,113,8,34,40,
9,16,6,3,1,6,3,2,1,6,20,163,132,0,0,0,0,0,0,2,110,8,34,40,
10,9,3,2,1,4,2,1,0,2,21,165,133,0,0,0,0,0,0,1,107,8,34,40,
11,11,11,2,2,4,6,1,1,6,20,163,133,1,0,0,0,0,0,2,109,8,34,40,
12,3,3,1,1,1,1,0,0,2,20,163,133,0,0,0,0,0,0,2,109,8,34,40,
13,8,8,2,2,3,3,1,1,4,20,163,133,0,0,0,0,0,0,2,109,8,34,40,
14,20,20,4,6,10,10,2,4,4,16,163,131,2,0,0,0,0,0,6,110,8,34,40,
15,9,9,2,2,4,4,1,1,4,16,163,131,0,0,0,0,0,0,6,110,8,34,40,
16,4,4,1,1,2,2,0,0,2,16,163,131,0,0,0,0,0,0,6,110,8,34,40,
17,25,25,5,5,10,14,5,3,8,16,159,133,0,0,0,0,0,0,6,113,8,34,40,
18,15,37,3,7,6,22,4,6,4,12,143,131,0,0,0,0,0,0,10,130,8,34,40,
19,3,7,1,2,2,4,1,1,-1,11,141,131,0,0,0,0,0,0,11,132,8,34,40,
20,12,29,2,8,5,15,2,6,3,8,131,127,0,0,0,3,0,0,14,144,8,34,40,
21,4,9,1,2,2,5,0,2,1,8,128,125,0,0,0,1,0,0,14,148,8,34,40,
22,0,0,0,0,0,0,0,0,0,8,128,125,0,0,0,0,0,0,14,148,8,34,40,
23,0,23,0,7,0,5,0,6,5,8,123,119,0,0,0,7,0,0,14,156,8,34,40,
0,0,0,0,0,0,0,0,0,0,8,123,119,0,0,0,0,0,0,14,156,8,34,40,
1,0,0,0,0,0,0,0,0,0,8,123,119,0,0,0,0,0,0,14,156,8,34,40,
2,0,0,0,0,0,0,0,0,0,8,123,119,0,0,0,0,0,0,14,156,8,34,40,
3,0,0,0,0,0,0,0,0,0,8,123,119,0,0,0,0,0,0,14,156,8,34,40,
4,0,0,0,0,0,0,0,0,0,8,123,119,0,0,0,0,0,0,14,156,8,34,40,
5,7,3,1,1,3,1,1,0,3,8,125,120,0,0,0,0,0,0,14,154,8,34,40,
