clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,CPU_time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.312067985534668
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,5,5,1,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,
6,18,0,2,0,5,0,2,0,9,2,5,2,0,0,0,0,0,0,
7,12,0,3,0,0,0,1,0,8,5,5,3,0,0,0,0,0,0,
8,16,16,3,3,5,5,3,3,10,5,5,3,0,0,0,0,0,0,
9,15,15,3,3,4,4,3,3,10,5,5,3,0,0,0,0,0,0,
10,6,6,1,1,2,2,1,1,4,5,5,3,0,0,0,0,0,0,
11,8,8,2,2,2,2,2,2,4,5,5,3,0,0,0,0,0,0,
12,5,5,1,1,2,2,1,1,2,5,5,3,0,0,0,0,0,0,
13,9,9,2,2,3,3,2,2,4,5,5,3,0,0,0,0,0,0,
14,16,16,3,3,5,5,3,3,10,5,5,3,0,0,0,0,0,0,
15,9,9,2,2,3,3,2,2,4,5,5,3,0,0,0,0,0,0,
16,6,6,1,1,2,2,1,1,4,5,5,3,0,0,0,0,0,0,
17,46,12,3,0,5,4,10,1,35,8,6,12,0,0,0,0,0,0,
18,6,64,1,6,2,17,1,6,37,3,0,7,0,0,0,0,9,0,
19,5,5,1,1,2,2,1,1,2,3,0,7,0,0,0,0,0,0,
20,18,18,4,4,5,5,4,4,10,3,0,7,0,0,0,0,0,0,
21,2,2,0,0,1,1,0,0,2,3,0,7,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,
23,9,9,2,2,3,3,2,2,4,3,0,7,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,
