clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,remain_car_parking_space,remain_motorcycle_parking_space,CPU_time(in second)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.75205479452055,23.67808219178082,1134.650684931507,0.0,0.0,0.0,0.0,0.0,0.0,14.247945205479452,35.73972602739726,2.6006338596343994
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.75205479452055,23.67808219178082,1134.650684931507,0.0,0.0,0.0,0.0,0.0,0.0,14.247945205479452,35.73972602739726,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.75205479452055,23.67808219178082,1134.650684931507,0.0,0.0,0.0,0.0,0.0,0.0,14.247945205479452,35.73972602739726,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.75205479452055,23.67808219178082,1134.650684931507,0.0,0.0,0.0,0.0,0.0,0.0,14.247945205479452,35.73972602739726,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.75205479452055,23.67808219178082,1134.650684931507,0.0,0.0,0.0,0.0,0.0,0.0,14.247945205479452,35.73972602739726,
5,6.642739726027397,2.6221917808219177,1.0073972602739727,0.04136986301369863,1.8904109589041096,0.9704109589041096,1.6134246575342466,0.6109589041095891,3.130958904109589,76.71808219178082,24.598082191780822,1135.6531506849315,0.0,0.0,0.0,0.0,0.0,0.0,13.281917808219179,34.33397260273973,
6,31.18794520547945,0.0,4.8682191780821915,0.0,9.222739726027397,0.0,7.670684931506849,0.0,9.426301369863014,81.58630136986301,33.82082191780822,1143.3238356164384,0.0,0.0,0.0,0.0,0.0,0.0,8.413698630136986,21.267397260273974,
7,20.96109589041096,0.0,3.2424657534246575,0.0,6.2435616438356165,0.0,5.11013698630137,0.0,6.364931506849315,84.82356164383562,40.043287671232875,1148.4254794520548,0.0052054794520547945,0.021095890410958905,0.008493150684931507,0.0,0.0,0.0,5.176438356164383,12.497260273972604,
8,29.115616438356163,12.222191780821918,4.555890410958904,1.896986301369863,8.573424657534247,3.658904109589041,7.156164383561644,2.9405479452054792,12.555890410958904,86.77972602739726,42.26,1150.9657534246576,0.7027397260273973,2.697808219178082,1.6753424657534246,0.0,0.0,0.0,3.22027397260274,8.979178082191781,
9,21.206027397260275,8.818356164383562,3.296164383561644,1.3265753424657534,6.265205479452055,2.6416438356164385,5.169315068493151,2.069041095890411,9.256438356164384,87.98246575342466,43.57506849315069,1152.8306849315068,0.7668493150684932,2.3084931506849315,1.2353424657534247,0.0,0.0,0.0,2.0175342465753423,6.816712328767124,
