clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,remain_car_parking_space,remain_motorcycle_parking_space,CPU_time(in second)
0,0,0,0,0,0,0,0,0,0,10,40,50,0,0,0,0,0,0,80,562,0.28422999382019043
1,0,0,0,0,0,0,0,0,0,10,40,50,0,0,0,0,0,0,80,562,
2,0,0,0,0,0,0,0,0,0,10,40,50,0,0,0,0,0,0,80,562,
3,0,0,0,0,0,0,0,0,0,10,40,50,0,0,0,0,0,0,80,562,
4,0,0,0,0,0,0,0,0,0,10,40,50,0,0,0,0,0,0,80,562,
5,7,3,1,1,3,1,1,0,3,10,42,51,0,0,0,0,0,0,80,559,
6,25,0,5,0,12,0,2,0,6,15,54,53,0,0,0,0,0,0,75,546,
7,24,0,5,0,14,0,4,0,1,20,68,57,0,0,0,0,0,0,70,530,
8,26,11,6,3,12,6,5,2,3,23,74,60,0,0,0,0,0,0,67,523,
9,16,7,3,1,6,4,2,1,6,25,76,61,0,0,0,0,0,0,65,520,
10,13,5,3,1,5,2,1,0,6,27,79,62,0,0,0,0,0,0,63,517,
11,9,9,2,2,4,4,1,1,4,27,79,62,0,0,0,0,0,0,63,517,
12,4,4,1,1,1,2,0,0,3,27,78,62,0,0,0,0,0,0,63,518,
13,13,13,3,3,5,5,1,1,8,27,78,62,0,0,0,0,0,0,63,518,
14,14,14,3,4,7,7,1,3,3,26,78,60,0,0,0,0,0,0,64,519,
15,7,7,1,1,3,3,1,1,4,26,78,60,0,0,0,0,0,0,64,519,
16,11,11,2,2,4,4,1,1,8,26,78,60,0,0,0,0,0,0,64,519,
17,24,24,5,5,10,13,5,3,7,26,75,62,0,0,0,0,0,0,64,521,
18,15,36,3,7,6,22,4,5,4,22,59,61,0,0,0,0,0,0,68,537,
19,2,6,0,1,1,3,0,1,2,21,57,60,0,0,0,0,0,0,69,540,
20,8,19,2,5,3,10,2,4,1,18,50,58,0,0,0,0,0,0,72,548,
21,3,7,1,2,1,4,0,1,1,17,47,57,0,0,0,0,0,0,73,551,
22,0,0,0,0,0,0,0,0,0,17,47,57,0,0,0,0,0,0,73,551,
23,0,20,0,6,0,4,0,6,4,11,43,51,0,0,0,0,0,0,79,558,
0,0,0,0,0,0,0,0,0,0,11,43,51,0,0,0,0,0,0,79,558,
1,0,0,0,0,0,0,0,0,0,11,43,51,0,0,0,0,0,0,79,558,
2,0,0,0,0,0,0,0,0,0,11,43,51,0,0,0,0,0,0,79,558,
3,0,0,0,0,0,0,0,0,0,11,43,51,0,0,0,0,0,0,79,558,
4,0,0,0,0,0,0,0,0,0,11,43,51,0,0,0,0,0,0,79,558,
5,9,3,2,1,4,1,1,0,3,12,46,52,0,0,0,0,0,0,78,555,
6,30,0,6,0,15,0,3,0,6,18,61,55,0,0,0,0,0,0,72,538,
7,20,0,4,0,12,0,3,0,1,22,73,58,0,0,0,0,0,0,68,525,
8,34,14,8,4,15,7,7,3,4,26,81,62,0,0,0,0,0,0,64,515,
9,17,7,3,1,7,4,2,1,6,28,84,63,0,0,0,0,0,0,62,511,
10,12,5,2,1,5,2,1,0,6,29,87,64,0,0,0,0,0,0,61,508,
11,6,6,1,1,2,3,1,1,3,29,86,64,0,0,0,0,0,0,61,509,
12,5,5,1,1,2,2,0,0,4,29,86,64,0,0,0,0,0,0,61,509,
13,9,9,2,2,4,4,1,1,4,29,86,64,0,0,0,0,0,0,61,509,
14,16,16,3,5,8,8,2,3,3,27,86,63,0,0,0,0,0,0,63,509,
15,9,9,2,2,4,4,1,1,4,27,86,63,0,0,0,0,0,0,63,509,
16,11,11,2,2,4,4,1,1,8,27,86,63,0,0,0,0,0,0,63,509,
17,27,27,5,5,11,15,5,3,10,27,82,65,0,0,0,0,0,0,63,512,
18,12,30,2,6,5,18,4,4,3,23,69,65,0,0,0,0,0,0,67,525,
19,6,16,1,4,3,9,2,3,0,20,63,64,0,0,0,0,0,0,70,532,
20,11,26,2,7,4,13,2,5,4,15,54,61,0,0,0,0,0,0,75,542,
21,3,7,1,2,1,4,0,1,1,14,51,60,0,0,0,0,0,0,76,546,
22,0,0,0,0,0,0,0,0,0,14,51,60,0,0,0,0,0,0,76,546,
23,0,21,0,6,0,4,0,6,5,8,47,54,0,0,0,0,0,0,82,553,
0,0,0,0,0,0,0,0,0,0,8,47,54,0,0,0,0,0,0,82,553,
1,0,0,0,0,0,0,0,0,0,8,47,54,0,0,0,0,0,0,82,553,
2,0,0,0,0,0,0,0,0,0,8,47,54,0,0,0,0,0,0,82,553,
3,0,0,0,0,0,0,0,0,0,8,47,54,0,0,0,0,0,0,82,553,
4,0,0,0,0,0,0,0,0,0,8,47,54,0,0,0,0,0,0,82,553,
5,4,2,1,0,2,1,0,0,2,9,48,54,0,0,0,0,0,0,81,552,
6,27,0,5,0,14,0,3,0,5,14,62,57,0,0,0,0,0,0,76,536,
7,17,0,3,0,10,0,3,0,1,17,72,60,0,0,0,0,0,0,73,525,
8,19,8,5,2,9,4,4,2,1,20,77,62,0,0,0,0,0,0,70,519,
9,23,10,5,2,9,6,2,1,8,23,80,63,0,0,0,0,0,0,67,515,
10,16,6,3,1,6,3,2,1,6,25,83,64,0,0,0,0,0,0,65,512,
11,9,9,2,2,4,4,1,1,4,25,83,64,0,0,0,0,0,0,65,512,
12,3,3,1,1,1,1,0,0,2,25,83,64,0,0,0,0,0,0,65,512,
13,7,7,1,1,3,3,1,1,4,25,83,64,0,0,0,0,0,0,65,512,
14,16,16,3,5,8,8,2,3,3,23,83,63,0,0,0,0,0,0,67,512,
15,9,9,2,2,4,4,1,1,4,23,83,63,0,0,0,0,0,0,67,512,
16,9,9,2,2,4,4,1,1,4,23,83,63,0,0,0,0,0,0,67,512,
17,23,23,5,5,9,13,5,3,6,23,79,65,0,0,0,0,0,0,67,515,
18,16,39,3,8,6,23,5,6,4,18,62,64,0,0,0,0,0,0,72,533,
19,4,10,1,2,2,6,1,2,0,17,58,63,0,0,0,0,0,0,73,537,
20,10,23,2,6,4,12,2,5,2,13,50,60,0,0,0,0,0,0,77,547,
21,4,9,1,2,2,5,0,2,1,12,47,58,0,0,0,0,0,0,78,551,
22,0,0,0,0,0,0,0,0,0,12,47,58,0,0,0,0,0,0,78,551,
23,0,25,0,8,0,5,0,7,5,4,42,51,0,0,0,0,0,0,86,559,
0,0,0,0,0,0,0,0,0,0,4,42,51,0,0,0,0,0,0,86,559,
1,0,0,0,0,0,0,0,0,0,4,42,51,0,0,0,0,0,0,86,559,
2,0,0,0,0,0,0,0,0,0,4,42,51,0,0,0,0,0,0,86,559,
3,0,0,0,0,0,0,0,0,0,4,42,51,0,0,0,0,0,0,86,559,
4,0,0,0,0,0,0,0,0,0,4,42,51,0,0,0,0,0,0,86,559,
5,4,2,1,0,2,1,0,0,2,5,43,51,0,0,0,0,0,0,85,558,
6,41,0,8,0,20,0,4,0,9,13,63,55,0,0,0,0,0,0,77,536,
7,15,0,3,0,9,0,2,0,1,16,72,57,0,0,0,0,0,0,74,526,
8,32,14,8,4,14,7,6,3,4,20,79,60,0,0,0,0,0,0,70,518,
9,24,10,5,2,10,6,2,1,8,23,83,61,0,0,0,0,0,0,67,513,
10,11,5,2,1,4,2,1,0,6,24,85,62,0,0,0,0,0,0,66,511,
11,12,12,2,2,5,6,1,1,7,24,84,62,0,0,0,0,0,0,66,512,
12,6,6,1,1,2,2,1,1,4,24,84,62,0,0,0,0,0,0,66,512,
13,9,9,2,2,4,4,1,1,4,24,84,62,0,0,0,0,0,0,66,512,
14,19,19,4,6,10,10,2,4,2,22,84,60,0,0,0,0,0,0,68,513,
15,10,10,2,2,4,4,1,1,6,22,84,60,0,0,0,0,0,0,68,513,
16,8,8,2,2,3,3,1,1,4,22,84,60,0,0,0,0,0,0,68,513,
17,22,22,4,4,9,12,4,3,8,22,81,61,0,0,0,0,0,0,68,515,
18,14,32,3,6,6,19,4,5,3,19,68,60,0,0,0,0,0,0,71,529,
19,3,9,1,2,2,5,1,2,-1,18,65,59,0,0,0,0,0,0,72,532,
20,8,18,2,5,3,9,2,4,1,15,59,57,0,0,0,0,0,0,75,539,
21,3,8,1,2,1,4,0,2,1,14,56,55,0,0,0,0,0,0,76,543,
22,0,0,0,0,0,0,0,0,0,14,56,55,0,0,0,0,0,0,76,543,
23,0,17,0,5,0,3,0,5,4,9,53,50,0,0,0,0,0,0,81,549,
0,0,0,0,0,0,0,0,0,0,9,53,50,0,0,0,0,0,0,81,549,
1,0,0,0,0,0,0,0,0,0,9,53,50,0,0,0,0,0,0,81,549,
2,0,0,0,0,0,0,0,0,0,9,53,50,0,0,0,0,0,0,81,549,
3,0,0,0,0,0,0,0,0,0,9,53,50,0,0,0,0,0,0,81,549,
4,0,0,0,0,0,0,0,0,0,9,53,50,0,0,0,0,0,0,81,549,
5,6,2,1,0,2,1,1,0,3,10,54,51,0,0,0,0,0,0,80,547,
6,27,0,5,0,14,0,3,0,5,15,68,54,0,0,0,0,0,0,75,532,
7,20,0,4,0,12,0,3,0,1,19,80,57,0,0,0,0,0,0,71,518,
8,31,13,8,4,14,6,6,3,3,23,88,60,0,0,0,0,0,0,67,509,
9,18,8,4,2,7,4,2,1,6,25,91,61,0,0,0,0,0,0,65,505,
10,17,7,3,1,7,4,2,1,6,27,94,62,0,0,0,0,0,0,63,502,
11,12,12,2,2,5,6,1,1,7,27,93,62,0,0,0,0,0,0,63,503,
12,9,9,2,2,3,4,1,1,5,27,92,62,0,0,0,0,0,0,63,504,
13,5,5,1,1,2,2,0,0,4,27,92,62,0,0,0,0,0,0,63,504,
14,13,13,3,4,6,6,1,3,3,26,92,60,0,0,0,0,0,0,64,505,
15,12,12,2,2,5,5,1,1,8,26,92,60,0,0,0,0,0,0,64,505,
16,16,16,3,3,6,6,2,2,10,26,92,60,0,0,0,0,0,0,64,505,
17,22,22,4,4,9,12,4,3,8,26,89,61,0,0,0,0,0,0,64,507,
18,13,31,3,6,5,19,4,5,2,23,75,60,0,0,0,0,0,0,67,522,
19,6,15,1,4,3,8,2,3,0,20,70,59,0,0,0,0,0,0,70,527,
20,7,16,1,4,3,8,1,3,3,17,65,57,0,0,0,0,0,0,73,533,
21,2,4,0,1,1,2,0,1,1,16,64,56,0,0,0,0,0,0,74,535,
22,0,0,0,0,0,0,0,0,0,16,64,56,0,0,0,0,0,0,74,535,
23,0,19,0,6,0,4,0,5,4,10,60,51,0,0,0,0,0,0,80,541,
0,0,0,0,0,0,0,0,0,0,10,60,51,0,0,0,0,0,0,80,541,
1,0,0,0,0,0,0,0,0,0,10,60,51,0,0,0,0,0,0,80,541,
2,0,0,0,0,0,0,0,0,0,10,60,51,0,0,0,0,0,0,80,541,
3,0,0,0,0,0,0,0,0,0,10,60,51,0,0,0,0,0,0,80,541,
4,0,0,0,0,0,0,0,0,0,10,60,51,0,0,0,0,0,0,80,541,
5,11,4,2,1,4,2,1,0,5,11,62,52,0,0,0,0,0,0,79,539,
6,35,0,7,0,18,0,4,0,6,18,80,56,0,0,0,0,0,0,72,519,
7,13,0,3,0,8,0,2,0,0,21,88,58,0,0,0,0,0,0,69,510,
8,27,11,7,3,12,6,5,2,3,25,94,61,0,0,0,0,0,0,65,502,
9,21,9,4,2,8,5,2,1,8,27,97,62,0,0,0,0,0,0,63,499,
10,8,3,2,1,3,2,1,0,2,28,98,63,0,0,0,0,0,0,62,497,
11,8,8,2,2,3,4,1,1,3,28,97,63,0,0,0,0,0,0,62,498,
12,5,5,1,1,2,2,0,0,4,28,97,63,0,0,0,0,0,0,62,498,
13,12,12,2,2,5,5,1,1,8,28,97,63,0,0,0,0,0,0,62,498,
14,13,13,3,4,6,6,1,3,3,27,97,61,0,0,0,0,0,0,63,499,
15,9,9,2,2,4,4,1,1,4,27,97,61,0,0,0,0,0,0,63,499,
16,12,12,2,2,5,5,1,1,8,27,97,61,0,0,0,0,0,0,63,499,
17,25,25,5,5,10,14,5,3,8,27,93,63,0,0,0,0,0,0,63,502,
18,16,39,3,8,6,23,5,6,4,22,76,62,0,0,0,0,0,0,68,520,
19,6,16,1,4,3,9,2,3,0,19,70,61,0,0,0,0,0,0,71,526,
20,11,25,2,7,4,13,2,5,3,14,61,58,0,0,0,0,0,0,76,537,
21,4,9,1,2,2,5,0,2,1,13,58,56,0,0,0,0,0,0,77,541,
22,0,0,0,0,0,0,0,0,0,13,58,56,0,0,0,0,0,0,77,541,
23,0,16,0,5,0,3,0,4,4,8,55,52,0,0,0,0,0,0,82,546,
0,0,0,0,0,0,0,0,0,0,8,55,52,0,0,0,0,0,0,82,546,
1,0,0,0,0,0,0,0,0,0,8,55,52,0,0,0,0,0,0,82,546,
2,0,0,0,0,0,0,0,0,0,8,55,52,0,0,0,0,0,0,82,546,
3,0,0,0,0,0,0,0,0,0,8,55,52,0,0,0,0,0,0,82,546,
4,0,0,0,0,0,0,0,0,0,8,55,52,0,0,0,0,0,0,82,546,
5,4,1,1,0,2,0,0,0,2,9,57,52,0,0,0,0,0,0,81,544,
6,38,0,8,0,19,0,4,0,7,17,76,56,0,0,0,0,0,0,73,523,
7,18,0,4,0,11,0,3,0,0,21,87,59,0,0,0,0,0,0,69,510,
8,20,8,5,2,9,4,4,2,2,24,92,61,0,0,0,0,0,0,66,504,
9,21,9,4,2,8,5,2,1,8,26,95,62,0,0,0,0,0,0,64,501,
10,14,6,3,1,6,3,1,1,5,28,98,62,0,0,0,0,0,0,62,498,
11,11,11,2,2,4,6,1,1,6,28,96,62,0,0,0,0,0,0,62,500,
12,1,1,0,0,0,0,0,0,2,28,96,62,0,0,0,0,0,0,62,500,
13,11,11,2,2,4,4,1,1,8,28,96,62,0,0,0,0,0,0,62,500,
14,16,16,3,5,8,8,2,3,3,26,96,61,0,0,0,0,0,0,64,500,
15,13,13,3,3,5,5,1,1,8,26,96,61,0,0,0,0,0,0,64,500,
16,10,10,2,2,4,4,1,1,6,26,96,61,0,0,0,0,0,0,64,500,
17,19,19,4,4,8,10,4,2,6,26,94,63,0,0,0,0,0,0,64,501,
18,15,36,3,7,6,22,4,5,4,22,78,62,0,0,0,0,0,0,68,518,
19,7,18,1,4,4,10,2,4,0,19,72,60,0,0,0,0,0,0,71,525,
20,9,21,2,6,4,11,2,4,1,15,65,58,0,0,0,0,0,0,75,533,
21,2,5,0,1,1,3,0,1,1,14,63,57,0,0,0,0,0,0,76,535,
22,0,0,0,0,0,0,0,0,0,14,63,57,0,0,0,0,0,0,76,535,
23,0,25,0,8,0,5,0,7,5,6,58,50,0,0,0,0,0,0,84,544,
0,0,0,0,0,0,0,0,0,0,6,58,50,0,0,0,0,0,0,84,544,
1,0,0,0,0,0,0,0,0,0,6,58,50,0,0,0,0,0,0,84,544,
2,0,0,0,0,0,0,0,0,0,6,58,50,0,0,0,0,0,0,84,544,
